Название продукта,Описание
Python-разработчик,"Привет! Мы - аккредитованная IT компания Maxim Technology. Занимаемся разработкой платформы для пассажирских и грузовых поездок. Самый крупный из наших заказчиков - сервис maxim. Мы первыми начали менять рынок поездок, создав для maxim цифровую платформу для связи пассажира и водителя раньше Uber и Gett.   Сегодня наша команда работает над высоконагруженными сервисами - в сутки платформа обрабатывает более миллиона заказов. Наше ПО — лидер рынка в регионах России, и мы не собираемся останавливаться на достигнутом!   Наша команда растёт быстрыми темпами и сейчас в штате более 350 IT-специалистов. Офисы компании располагаются в Кургане, Челябинске, Тюмени, Набережных Челнах, Казани, Екатеринбурге и Санкт-Петербурге, но у нас можно работать и удалённо и в гибридном формате.   Сейчас мы ищем  Python   разработчика  в Кургане, который будет:     Участвовать в обсуждении задач и планов развития продукта;   Создавать новые сервисы;   Преподавать для студентов IT колледжа;     Мы ждем, что вы:     Имеешь опыт разработки на Python 3.X;   Преподавал курсы программирования или интересно данное направление;   Работаешь с любым синхронным или асинхронными веб-фреймворком;   Разбираешься в взаимодействии с реляционными БД;   Понимаешь принципы ООП;   Умеешь взаимодействовать с api внешних приложений;   Любишь работать в команде;     Будет плюсом, если:     Знаешь шаблоны проектирования приложений;   Работал с Docker и познал азы DevOps;   Понимаешь зачем нужны брокеры сообщений;     Что дальше? У нас простой процесс подбора. Тебя ждет интервью с HR и лидом команды, и после этого мы выходим с оффером.   Отправляй свой отклик! Мы тебя ждем."
Python-разработчик,"В  SIMETRA  уверены, что команда – это основа успеха любой компании. И именно благодаря сильной команде воплотился в жизнь продукт  RITM³ , предназначенный для автоматизации управления и контроля, мониторинга и моделирования транспортно-логистических потоков в городах, регионах, на промышленных объектах.   RITM³  сложный продукт с огромной прикладной пользой: повышение качества оказания транспортных услуг, помощь и поддержка в принятии верных управленческих решений.       Задачи:     Разработка и поддержка функциональных модулей платформы RITM. Платформа является внутренним основным продуктом компании. Функциональные модули предназначены для решения всех типов транспортных задач городов и регионов   Формирование внутренних сервисов и протоколов взаимодействия с внешними информационными системами в части интеграции различных транспортных данных   Разработка алгоритмов и решений, помогающих в вопросах автоматизации, моделирования, прогнозирования и мониторинга.     Наш стек: FastAPI, Flask, PostgreSQL с расширением PostGIS, микросервисная архитектура, docker       Требования :     Опыт разработки REST API;   Обязателен промышленный опыт разработки на Flask или FastAPI (в приоритете);   Опыт коммерческой разработки от 3-х лет;   Понимание принципов микросервисной архитектуры;   Уверенное знание Python;   Уверенное владение Git;   Опыт работы с PostgreSQL на уровне формирования сложных запросов и их оптимизации;   Использование паттернов проектирования с умением аргументировать и объяснять выбираемые подходы в рамках проекта     Будет плюсом:     Опыт работы с RabbitMQ;   Опыт работы с контейнеризацией (docker);   Опыт работы с PostGIS;   Опыт работы с различными геоинформационными системами;   Опыт разработки решений для транспортных компаний вне зависимости от их спецификации (пассажирский, личный, коммерческий транспорт)     Условия работы:     Коллектив творческих профессионалов, объединенных командным духом;   Гибкий распорядок рабочего дня. При планировании используем принципы Agile и таск-трекер;   Гибридный график работы;   Уютные офисы в центре города Москва и Санкт-Петербург в 5-х минутах ходьбы от станций метро;   Стабильная, полностью белая зарплата, оформление по ТК РФ;   ДМС после успешного года работы в компании;   Лояльное отношение и умение слышать каждого сотрудника, приветствие предложений по развитию корпоративной культуры внутри компании;   Конкурентоспособной уровень заработной платы, согласованный по результатам собеседования;   Мы - аккредитованная ИТ-компания  "
Python-разработчик,"Рассвет 13  -  команда экспертов и разработчиков в области управления данными и бизнес-аналитики. Реализуем проекты для крупных федеральных компаний. Приглашаем в команду Python-backend разработчика уровня middle.   Ожидания от кандидата:     опыт работы с Python;   опыт работы с фреймворками Django,  FastAPI;   PostgresSQL / MS SQL-server,   понимание REST, SOAP;   опыт использования Alembic, Aiohttp, Lxml;   знание Docker.     Будет плюсом:      знание современных подходов к процессу тестирования.     Мы предлагаем:        Создавать продукты с нуля и решать неординарные задачи;       Работать с комфортом: гибкое начало рабочего дня, можно работать из офиса или  удаленно ; 5-дневная рабочая неделя;       Быть частью внутреннего IT-сообщества и регулярно обмениваться опытом;       Формировать культуру работы с данными в различных отраслях экономики;       Реализовать проекты, которые не стыдно показать в портфолио;       Оформление по ТК РФ;       Белая з/п (в соответствии с рынком);       Индивидуальный подход к заслугам и достижениям;       Индивидуальный план развития с регулярным пересмотром зп;       Участие в онлайн и оффлайн корпоративных мероприятиях интеллектуального и развлекательного характера.       Если вы хотите развиваться вместе с нами – откликайтесь на наши вакансии и присоединяйтесь к Рассвет 13!"
Python-разработчик,"В Центре ""Технологии искусственного интеллекта"" МГТУ им. Н.Э. Баумана открыта вакансия   Backend  разработчика   Python .   На базе Центра ведется разработка масштабной высоконагруженной информационной платформы для крупного федерального заказчика, реализуются проекты коммерческой разработки, а также наукоемкие разработки с применением искусственного интеллекта.   Обязанности:     Разработка Backend части веб-приложений и прикладных программных модулей в области машинного обучения.   Реализация высоконагруженных сервисов для хранения обработки и визуализации больших массивов данных.   Оптимизация уже существующих и разработка новых модулей платформы.   Участие в разработке решений по отказоустойчивости и улучшению производительности системы.   Участие в интеграции платформенных решений компании в ИТ-инфраструктуру заказчиков.     Требования:     Высшее техническое образование или профильные курсы.   Опыт работы от 2 лет коммерческой разработки;   Опыт работы с нагруженными приложениями.   Опыт написания асинхронного кода с использованием очередей/планировщиков задач;   Уверенное владение:    Python 3.10+, знания алгоритмов, структуры данных, Pandas, Numpy;   FastAPI (также приветствуется Flask/Django с обязательным знанием DRF), Pydantic, SQLAlchemy, RESTful API;   Базы данных PostgreSQL, SQLite;   SQL-запросы;   Контейнеризация Docker.   Опыт оптимизации, профилирования, рефакторинга кода;   Опыт написания модульных тестов (pytest, mock и т. п.);   Владение Linux, GIT и ООП;         Приветствуется:     Навыки оптимизации производительности алгоритмов и железа.   Навыки работы с телеграм-ботами (Telegram API, Telethon, Pyrogram).   Навыки работы с:    Kubernetes, опыт DevOps;   Кешированием Redis;   MongoDB;   Apache Kafka, Nginx;   Знание инструментов CI/CD, опыт написания скриптов Bash.   WebSocket, gRPC.       Успешное участие в соревнованиях (хакатоны и т.п.).     Условия:     Работа в крупной стабильной организации, получение уникального опыта;   Обширные возможности профессионального развития, программы повышения квалификации, посещение образовательных мероприятий и лекций;   Амбициозные и интересные задачи;   Работу в мотивированной профессиональной команде, нацеленной на результат;   Дружный коллектив;   Офис: м. Бауманская, ул. 2-я Бауманская, д. 5, стр. 1   Оформление по ТК РФ;   График работы 5/2 с 9.00 до 18.00, пт с 9.00 до 16.45 (возможен гибридный формат работы);   Заработная плата обсуждается по результатам собеседования;   Медицинское обслуживание в нашем центре, включая стоматологию.  "
Java-разработчик,"Описание:   Мы расширяем команды и ищем разработчиков для развития нескольких сервисов:       Тинькофф Инвестиции. Мы — лидер среди брокеров по количеству активных клиентов. Делаем инвестиции удобными, технологичными и понятными;       Тинькофф Бизнес. Меняем подход к ведению бухгалтерии, обмену документами между организациями и работе с архивами — переводим все и вся в цифру;       Тинькофф Страхование. Развиваем платформу прямых продаж. Наша цель — предсказуемый, удобный процесс для бизнеса и клиента;       Платежные технологии и процессинг. Занимаемся разработкой и поддержкой платежного шлюза банка. Задачи шлюза — определять тип платежей, наполнять их данными из других систем банка и проверять разрешенность операций.       У нас много интересных и разнообразных задач, опытная команда и отличные возможности для роста. Откликайтесь на вакансию, чтобы узнать о проектах и выбрать подходящий для вас.   Обязанности:       Разрабатывать внешние и внутренние продукты;       Прорабатывать и реализовать интеграционные решения.       Требования:       Опыт разработки на Java от 3 лет;       Опыт коммерческой разработки на Java 11+ или Kotlin;       Опыт коммерческой разработки с любым из фреймворков: Spring Boot, Quarkus, Micronaut или Vert.x;       Опыт коммерческой разработки с одним из контейнеризаторов: Kubernetes, Docker или OpenShift;       Опыт коммерческой разработки с одним из брокеров: Kafka, Rabbit MQ или Active MQ;       Опыт коммерческой разработки с PostgreSQL, MySQL или Oracle будет плюсом;       Опыт работы с системой контроля версий.       Мы предлагаем     Возможность работы в аккредитованной ИТ-компании.   Работу в офисе. График работы — гибридный     Платформу обучения и развития Тинькофф Апгрейд.  Курсы , тренинги, вебинары и базы знаний. Поддержка менторов и наставников, помощь в поиске точек роста и карьерном развитии     Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким   Частичную компенсацию затрат на спорт по окончании испытательного срока   Компенсацию питания или транспорта в дни работы из офиса   Достойную зарплату — обсудим ее на собеседовании  "
Java-разработчик,"Domclick.ru - единственный в России продукт, обеспечивающий полный цикл операций с недвижимостью. Доступен на всех популярных платформах (Web, iOS, Android). Решаем любые вопросы с недвижимостью, делая сложное простым, с заботой о каждом клиенте. Мы ищем единомышленников, чтобы вместе помогать людям исполнять мечту о собственном жилье. Чем предстоит заниматься:     разрабатывать и поддерживать сервисы от выбора архитектуры до выведения в продакшн;   использовать Agile/Scrum; минимум бюрократии, церемоний и начальников;   совершенствовать процесс разработки: git flow, code review, написание тестов и прочее;   формировать релизы в продакшн, используя docker/kubernetes; сбор и анализ метрик работающих сервисов.     Мы ждем, что вы:     имеете опыт разработки на целевом стеке от 2х лет;   обладаете хорошими знаниями Java;   имеете опыт работы со Spring, Spring Boot;   работали с реляционными СУБД (PostgreSQL).     Плюсом будет:      знание Kotlin;   опыт разработки и проектирования высоконагруженных систем;   работа с Docker, kubernetes.     Мы предлагаем:     работу в аккредитованной IT компании;   конкурентную заработную плату;   полис ДМС с первого месяца работы;   современную технику для работы;   корпоративный университет, онлайн- курсы  для повышения квалификации, конференции, митапы;   фитнес-зал в здании офиса;   льготную программу ипотеки для сотрудников;   комфортный офис класса А в 5 минутах от станции метро и МЦК Кутузовская;   гибкое начало рабочего дня и возможность работать в гибридном или удаленном формате.  "
Java-разработчик,"Мы ищем опытного  Java  разработчика, готового влиться в нашу дружную команду, главной целью которой является создать с нуля Cloud Native платформу, позволяющую автоматизировать ITSM процессы компании.   Данная платформа создается с целью импортозамещения сразу нескольких критичных автоматизированных систем Банк, созданных на базе продуктов Micro Focus: Service Manager, UCMDB. Обязанности     проектирование решения, в том числе разработка детальной внутренней архитектуры сервиса, включая интеграционные сценарии   детальное проектирование интеграций со смежными сервисами (в том числе API)   разработка программного продукта, внесение изменений в код   выполнение code review   написание Unit-тестов   сборка и развертывание разработанного решения на стенды разработки / тестирования   подготовка и настройка стендов разработки / тестирования   развертывание ПО разработки на рабочем месте разработчика   Требования   Стэк:   · Java, Spring Framework, Docker, Git, Maven, JUnit, SQL, Kafka, Jira, PostgreSQL.     понимание принципов ООП   уверенное знание и опыт использования Java 11, Spring framework, hibernate   опыт работы с Docker   опыт работы с Kafka   хорошее знание SQL, опыт работы с реляционными БД   опыт работы с git   опыт работы maven / gradle   опыт написания Unit-тестов Junit, TestNG   умение работать в команде   опыт разработки на Java от 3 лет   умение и желание писать качественный, красивый и рабочий код, покрытый тестами     Также, видим плюсами для тебя:     опыт разработки Cloud Native приложений   владение Openshift и контейнеризацией приложений   опыт работы с Jira, Confluence   опыт работы в Agile-команде   опыт работы в высоконагруженных проектах, опыт работы с многопоточностью, опыт работы в критичных системах с высоким уровнем SLA   умение подбирать инструменты для решения необходимых задач   знание методологии ITIL и принципов ITSM   Условия     Официальное трудоустройство по ТК РФ   Стандартный график работы (09:00–18:00), но с гибким подходом + сокращённый рабочий день по пятницам (до 16:45), возможность смешанного режима (офис/дистанционный)   Достойный уровень оплаты труда (определяется по результатам собеседования)   Премирование по итогам года;   Страхование жизни и здоровья для сотрудников (ДМС) и скидки на медицинскую страховку для родственников (после испытательного срока);   Широкие возможности профессионального и карьерного роста;   Обучение и повышение квалификации в Корпоративном Университете Сбербанка, на внутренних и внешних  курсах , доступ к корпоративной библиотеке;   Льготное кредитование в Сбербанке – возможность пользоваться премиальными продуктами Банка на специальных условиях (в т.ч. по ипотечным программам);   Корпоративная пенсионная программа;   Широкий спектр дисконт-программ, скидок и привилегий от компаний-партнёров и компаний Экосистемы Сбер;   Корпоративные подарки для детей   Корпоративные и благотворительные мероприятия («Зелёный марафон», Сбербанкиада, КВН, волонтёрские программы и т.д.)   Современный комфортный офис: столовые предлагают вкусные завтраки, обеды, кофе-поинты, прекрасно оборудованный тренажёрами спортивный комплекс   Свободный dress code   Офис: БЦ «Южный Порт» (10 минут пешком от ст. м. Кожуховская)  "
Java-разработчик,"МТС Digital — единый центр технологического развития экосистемы МТС. У нас работает больше 8000 сотрудников по 18 направлениям технологического развития. Мы знаем, как поддержать баланс между работой и жизнью, разбавить рутину и создать вдохновляющую атмосферу. А ещё у нас: 20+ гильдий инженеров, суперкомпьютер, системы видеоаналитики, IoT, собственная лаборатория AI и 20+ петабайт данных. Финтех, стриминг, гейминг, мобильные приложения, облачные сервисы. Каждый день наши продуктовые команды работают по agile-методологиям, чтобы вывести мобильную и веб-разработку на новый уровень.   UI Platform – кроссплатформенная low-code система, предоставляющая возможность создавать и переиспользовать конфигурации UI элементов, экранов и целых сценариев на основе предоставленных данных.   Чем предстоит заниматься:     разрабатывать новые и дорабатывать имеющиеся сервисы;   проводить код-ревью;   покрывать функциональность unit-тестами;   решать инциденты.     От тебя мы ждём:     Java 11+;   опыт разработки микросервисов (желателен опыт перевода монолита на микросервисы);   умение разбираться в существующем коде;   знание алгоритмов, принципов ООП и паттернов проектирования;   опыт работы с Spring Framework и подпроектами Spring Boot, Spring Web, Spring Security;   опыт работы с брокерами сообщений (RabbitMQ, Kafka);   опыт работы с REST/SOAP/GraphQL;   опыт работы с SQL и noSQL БД;   опыт работы с GitLab.     Мы предлагаем:     собственную платформу MTS Ocean для получения ИТ-ресурсов, а это значит, что деплой, мониторинг, observability - не будут для вас проблемой, вы сможете сосредоточиться на фичах;   профессиональные гильдии инженеров по направлениям, чтобы поддерживать друг друга и обмениваться опытом;   внутреннюю площадку TechTalks для обмена опытом, дискуссий, развития навыков самопрезентации.   участие во внешних IT конференциях. Мы выступаем на HighLoad++, DataFest, Mobius, Test Driven Conf, Joker, DevOps, Матемаркетинг и даже проводим собственную конференцию по архитектуре Hello, conference!   полезные  курсы  и вебинары в корпоративном университете и электронные библиотеки.     А еще:     медицинскую страховку с 1 месяца со 100% покрытием расходов, включая стоматологию, страхование жизни и здоровья в поездках за рубеж. А еще можно застраховать родственников с корпоративной скидкой;   доступ к сервису «Понимаю»: онлайн-консультации с психологом, юристом, экспертом по финансам или ЗОЖ;   единую подписку МТС Premium — KION light в онлайн-кинотеатре KION, сервис МТС Music, 30 дней бесплатного пользования подпиской OZON Premium;   скидки и предложения от партнеров на фитнес, занятия английским и прочее.  "
Разработчик на C#,"Вам предстоит:     Участвовать в разработке и внедрении новых модулей, реализующих дополнительный функционал существующей корпоративной системы;   Участвовать в сопровождении существующей системы;   Заниматься поддержкой пользователей.     Наши требования:     Опыт/понимание в разработке БД под MS SQL Server, T-SQL;   Опыт/понимание в разработке корпоративных пользовательских приложений, взаимодействующих с БД, с использованием высокоуровневых языков программирования  C# ;   Опыт/понимание в разработке web-приложений.     Вы получите у нас:     Оформление по ТК РФ;   ДМС (со стоматологией);   Дополнительные оплачиваемые дни отпуска;   Интересные проекты;   Возможность обучения за счет компании;   Дружный коллектив профессионалов и единомышленников;   Рабочее пространство в СПб. (ст. м. Василеостровская);   Комфортный офис и кофе-точки;   Скидки от компаний-партнёров  на  изучение английского языка, занятия спортом;   Развитую корпоративную культуру (футбольная команда, проводятся соревнования по различным видам спорта).  "
Разработчик на C#,"О   НАС :   Мы предлагаем интересную работу и имеем партнеров в различных сферах (коммерческие и государственные структуры, крупные и небольшие, и у каждого свои особенности), поэтому тематика задач разноплановая: web-приложения и сервисы, фронтенд и бэкенд, задачи по интеграции и внутренние корпоративные системы. Находимся в поиске новых сотрудников в связи с расширением отдела.   Мы ищем backend- разработчика  в команду, работающую над системой WFM - одной из ключевых систем компании.   WFM (Workforce Management) - это инновационная информационная система для управления и оптимизации производственных ресурсов.   ЗАДАЧИ:     Работать в SCRUM-команде;   Разрабатывать новые функции и дорабатывать существующие (минимум легаси, проект стартовал этим летом);   Принимать участие в обсуждении и оценке требований к системе;   Участвовать в командных встречах и процессах (дейли, код-ревью, ретроспективы и т.д.).     МЫ ЖДЕМ ОТ ВАС:     Хорошие знания  C# ;   Опыт коммерческой разработки  на   С# , ASP.Net Core не менее 3 лет;   Навыки написания SQL-запросов;   Опыт работы с любыми реляционными СУБД;   Умение и желание создавать понятный, красивый, оптимальный код;   Умение работать в команде;   Понимание принципов ООП, REST, SOLID.     Будет Плюсом:     Умеете работать с Docker;   Опыт написания сложных SQL-запросов;   Опыт написания сложных алгоритмов.     СТЕК: . Net 8, PostgreSQL, Entity Framework, Redis, RabbitMq.   УСЛОВИЯ РАБОТЫ:     Своевременная ""белая"" заработная плата (2 раза в месяц  на  банковскую карту);   Работа в команде профессионалов над интересными и сложными проектами;   Официальное трудоустройство и социальные гарантии с первого дня работы;   Питание: в офисе оборудованы кухни, чай, кофе, печеньки;   Работа в аккредитованной IT-компании;   Возможна удаленная работа.  "
Разработчик на C#,"AUTOPITER.RU  — федеральный интернет-магазин по продаже запчастей и автотоваров. Мы упрощаем жизнь, освобождаем наших клиентов от рутины для более важных дел.     Мы большие и дружные:  1 200 сотрудников;   Мы постоянно развиваемся:  разработка нового и постоянные улучшения нашего ПО;   Мы гибкие:  удаленный формат работы.     Условия :     Официальное трудоустройство по ТК РФ;   Стабильную оплату труда, выплаты 2 раза в месяц;   Корпоративные обеды;   Возможности для профессионального развития в техническом направлении;   Разнообразные мотивационные программы (скидка  на  покупку запчастей и автотоваров, подарки детям сотрудников  на  Новый год, 1 сентября и т.д.)     Требования :     Высшее, неполное высшее или среднее образование в сфере ИТ   Знание принципов объектно-ориентированного программирования;   Знание паттернов ООП;   Знание архитектуры и практический опыт использования .NET (или .NET Core)   Продвинутое владение языком программирования  C# ;   Базовые навыки написания запросов, создания ХП с использованием T-SQL;   Создание документации в соответствии со спецификацией Open API с использованием компоновщика Swagger;   Технический английский ( на  уровне чтения документации);   Готовность работать в команде.     Будет преимуществом :     Участие в open source проектах;   Опыт работы с технологиями  WPF ,  Asp . net   MVC ,  WCF  или любой из них   Опыт работы с СУБД MS SQL, брокером сообщений Rabbit MQ, службой распределённого кэширования данных Redis;   Умение разбираться в чужом коде;         ВАШИ ЗАДАЧИ     Backend-разработка фич в виде сервисов внутренней системы.   Развитие и сопровождение существующих проектов со стеком  . Net ,   WPF ,  Asp . net   MVC  и  WCF .     СПАСИБО, ЧТО ЗАИНТЕРЕСОВАЛИСЬ НАШЕЙ ВАКАНСИЕЙ!        "
Разработчик на C#,"ИТ-фирма, входящая в наш холдинг занимается разработкой программного обеспечения в виде продуктов, направленных на автоматизациию бизнесс-процессов.   Чем предстоит заниматься: проектирование и разработка модулей системы (архитектура, логика, участие в создании интерфейсов, конечно само программирование): микросервисы для системы и самодостаточные программные продукты, работа с аппаратными устройствами.   Мы:   - разрабатываем ядро системы, архитектуру экосистемы заказчика и автоматизированные рабочие места с нуля, применяя лучшие идеи.   - разбираемся в тонкостях работы сотрудников заказчика и видим слабые места (где человек тратит много времени, что можно автоматизировать, чему нужно уделить внимание для создания системности работы).   В совокупности эти особенности позволяют нам быть архитекторами сиcтемы, гибко выстраивать связи между компонентами, успешно реализовывать все задумки.   Вам предстоит:       Разбираться в предметной области.       Разрабатывать надежные, легко модифицируемые и масштабируемые сервисы.       Активно участвовать в проработке архитектурных решений.        Мы  ожидаем:        Техническое образование в области IT       Опыт коммерческой разработки от 2х лет       Опыт работы с базами данных и ORM-системами (EntityFramework)       Опыт разработки клиент-серверных приложений на С# WPF       Понимание смысла микросервисной архитектуры       Понимание принципов ООП и платформы .Net       Умение работать с системой контроля версий(Gitlab)       Представление о работе с XML       Знание классических алгоритмов и структур данных       Опыт работы c СУБД (MS SQL, T-SQL) – будет являться преимуществом       Понимание принципов SOLID и DDD.       Знание и опыт работы с HTML/JavaScript – будет являться преимуществом       Стек используемых технологий:        NET и язык C# (кросс платформенная разработка)       REST/SignalR       Фронтенд на React JS       Базы данных в PostgreSQL/SQLite       Orm-система EntityFramework       Система контроля версий Gitlab       Контейнеризатор приложений Docker       Мы предлагаем:       Динамично и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт.       Свободу действий в принятии решений.       Достойный уровень заработной платы.       Дружелюбный коллектив.       Возможность получить интересный опыт в области разработки и автоматизации бизнес процессов.       Трудоустройство в соответствии с ТК РФ, своевременная заработная плата ( Возможна работа как самозанятый )                    "
Frontend-разработчик,"Мы - продукт SMILE: no-code решение , предоставляющее клиенту удобный сервис для быстрого создания безопасных мультипротокольных интеграций.   Продукт SMILE помогает всем участникам экосистемы Сбер, испытывающим потребность в обмене информацией с другими участниками, решать проблемы сложности, дороговизны и непонимания процесса построения интеграции.   С помощью концепции no-code для разработки самих взаимодействий и их сопровождения, мы позволяем клиентам существенно уменьшать Т2М своих бизнес-продуктов, а также с минимальными затратами проверять свои продуктовые гипотезы.   Наша команда работает над модулями по сбору и формализации требований от бизнеса для реализации различных сценариев интеграции.   Требуется опытный разработчик, который сможет проектировать и реализовывать фронтальные компоненты по бизнес-требованиям и делиться опытом с коллегами.   Стек технологий:   · Vue 3   · Quasar   · Typescript;   · Webpack   · Websocket   · Backend: Java 17 + Maven   Обязанности     Разработка фронтального компонента продукта   Доработка фреймворка автоматизации тестовых сценариев   Написание сопроводительной документации   Участие в командных планированиях   Участие в анализе клиентских потребностей   Участие в составлении бизнес-требований к задачам.     Требования     Хорошее понимание ООП, паттернов и структур данных на уровне абстракции   Опыт работы с фреймворком Vue.js   Умение работать с Webpack на уровне построения конфига   Знание нативного JavaScript   Опыт вёрстки с помощью HTML5/CSS3/Flexbox   Умение настраивать окружение и сборку проектов (Webpack, NPM Scripts)   Опыт в разработке дизайна UI, опыт работы в Figma или аналогах   Умение разбираться в чужом коде, писать чистый и понятный код для других разработчиков   Способность оптимизировать свой собственный код и код других разработчиков   Умение делиться опытом с коллегами.     Будет плюсом:     Опыт работы в написании тестов (unit-тесты Jest, Joker, ручные Selenium)   Опыт работы с Unix-системами     Ключевые навыки:   Vue, Typescript, Quasar, Websocket   Условия     официальное трудоустройство согласно ТК РФ, белая заработная плата (оклад + годовая премия)   интересные и амбициозные задачи   возможность профессионального и карьерного роста   работа в крупной стабильной компании   возможность обучения за счет компании   медицинское(ДМС) и другие виды страхования   выплаты материальной помощи в особых/чрезвычайных случаях   льготные условия по банковским продуктам и услугам   офис метро Кутузовская (возможен гибрид).  "
Frontend-разработчик,"Обязанности:     разработка веб-приложений на фреймворке Vue, включая разработку собственных продуктов компании   проектирование архитектуры веб-приложений   оценка задач по фронтенду   код-ревью коллег     Требования:     уверенное знание JavaScript, знание TypeScript   знание и умение работать с фреймворком Vue, плюсом будет уменине работать с Nuxt.js   плюсом будет знание других фреймворков   умение решать поставленные задачи в срок оптимальным способом   следование код-стандартам   применение современных решений/тенденций в разработке фронтенда   плюсом будет знание HTML + CSS     Условия:     Официальное трудоустройство   Командная работа над задачами   Работа над крупными проектами и продуктами (платформа для конференций, платформа для маркетинговых кампаний, платформа для ТСЖ, инвестиционная платформа недвижимости, и другие)   Открыта возможность стать тим-лидом или тех.лидом - есть возможность на расширение количества команд, которые нужно кому-то возглавлять)   Офис на ул.Евгении Жигуленко - рядом фитнес-центр Lime Fit, Табрис, ТЦ Мандарин, ТЦ Стрелка, транспортная развязка   Отдельная кухня/комната отдыха  "
Frontend-разработчик,"Мы расширяем команду по разработке, поэтому открываем вакансию для джуниор+ фронтенд-разработчика. На данный момент в технической команде Ракетной более 40 разработчиков. Для опытов мы создаем собственные проекты, в которых используем новые решения и библиотеки. Сейчас мы в поисках грамотного фронтенд-разработчика, желающего развивать свои навыки на реальных коммерческих проектах, которые увидят тысячи людей. Ожидаем, что вы умеете работать в команде, будете рады постоянному взаимодействию с коллегами, тянетесь к развитию и заинтересованы в работе над интересными проектами.   Требования, навыки, опыт:       Знание и уверенное владение базовыми технологиями верстки в веб-среде (html5, css3, sass, bootstrap, semantic-ui);       Фундаментальное знание JavaScript, а также Vue.js;       Знание основных Javascript Design Patterns;       Чем предстоит заниматься:     Анализ и детализация бизнес-требований;     Проектирование и верстка адаптивных интерфейсов;       Разработка новых и доработка существующих сервисов;       Плюсом будут также знания и опыт работы с технологиями:     Nuxt.js, Express.js, Node.js;   Docker;   Continuous Integration/Delivery;     Условия:       График работы с 9 до 18 либо с 10 до 19 — на выбор, 5 дней в неделю       Трехэтажный дом c бассейном и котиками       Удобное рабочее место, безлимитный чай/кофе       Внутренние и внешние семинары, библиотека       Стабильная ЗП, официальное оформление    "
Frontend-разработчик,"Мы – команда разработчиков Центрального НИИ Эпидемиологии.   Нашими сервисами пользуются физические лица, коммерческие лаборатории, Госуслуги, Центральный аппарат Роспотребнадзора, Минздрав.   Разрабатываем web-решения для лабораторной диагностики и автоматизации науки. В активной разработке высоконагруженная лабораторная система и сервисы для консолидации и анализа данных по геномам вирусов.   Про наше IT можно почитать здесь:  https://hh.ru/article/32134   В команде:  4 frontend, 8 backend, инженеры по тестированию, 3 DevOps инженера, support пользователей продуктов, 3 project – менеджера, системный аналитик   ⚙  Наш стек : PHP( Yii), GoLang, Vue 3, TypeScript , PostgreSQL, Redis, ElasticSearch, Docker, RabbitMQ   Мы предлагаем:   - Современный продукт с минимум Legacy.   - Формат работы: Full-time (пн-пт), гибрид: 2 дня в офисе, 3 - удаленно   - Зарплата: до 220k net, предложение зависит от профессионального уровня кандидата   - Работа в штате надежного работодателя, все соц. гарантии, слаженная работа в дружеской обстановке   - Дополнительные преференции: собственный медицинский центр, скидка 50% на наши услуги для вас и прямых родственников, предоставление оплачиваемых дней за вакцинацию от COVID-19 и по семейным событиям   Чем предстоит заниматься:     Проектировать и разрабатывать новые сервисы в нашей информационной системе   Осуществлять переход со стека Vue 2 + JS на Vue 3 + TS   Осуществлять доработку внутренней UI библиотеки   Реализовывать отказоустойчивые решения   Участвовать в проектировании API, взаимодействовать с бэкенд-разработчиками     Что мы ожидаем от вас:     Умение оценить задачу по срокам выполнения и уложиться в эти сроки.   Уверенное знание JavaScript (JS), TypeScript (TS) будет плюсом   Уверенное знание Vue и его экосистемы   Знание SCSS   Опыт работы с git. Понимание технологии REST API и опыт работы с JSON.   Будет здорово, если вы имеете аккаунт на Github и не против показать свои проекты   Умения писать простой, структурированный и читаемый код     Будет плюсом:     Опыт работы с инструментами Jira/Confluence//Figma   Понимание современных принципов архитектурных решений фронтенд приложений   Опыт работы с Auth 2.0  "
